Xilinx, IO,Index,sysio,pad_mux=0,pad_mux=1,pad_mux=2,pad_mux=3
ja[4],IO_0,0,jtag_tck,,,,
ja[2],IO_1,1,jtag_tdi,,,,
ja[3],IO_2,2,jtag_tdo,,,,
ja[1],IO_3,3,jtag_tms,,,,
sw[0],IO_4,4,jtag_trst,,,,
sysclk_p,IO_5,5,sysclk_p,,,,
cpu_resetn,IO_6,6,rstn,,,,
uart_tx_in,IO_7,7,,uart0_rx,,apbio_0,fpgaio_0
uart_rx_out,IO_8,8,,uart0_tx,,apbio_1,fpgaio_1
ja[8],IO_9,9,,uart1_tx,,apbio_2,fpgaio_2
ja[9],IO_10,10,,uart1_rx,,apbio_3,fpgaio_3
led[0],IO_11,11,,apbio_32,apbio_47,apbio_4,fpgaio_4
ja[10],IO_12,12,,0,,apbio_5,fpgaio_5
xa_p[0],IO_13,13,,qspim0_csn0,apbio_34,apbio_6,fpgaio_6
xa_p[1],IO_14,14,,qspim0_data0,apbio_35,apbio_7,fpgaio_7
xa_p[2],IO_15,15,,qspim0_data1,apbio_37,apbio_8,fpgaio_8
xa_p[3],IO_16,16,,qspim0_clk,apbio_38,apbio_9,fpgaio_9
xa_n[0],IO_17,17,,1,apbio_40,apbio_10,fpgaio_10
xa_n[1],IO_18,18,,1,apbio_41,apbio_11,fpgaio_11
xa_n[2],IO_19,19,,qspim0_data2,apbio_42,apbio_12,fpgaio_12
xa_n[3],IO_20,20,,qspim0_data3,apbio_43,apbio_13,fpgaio_13
jc[1],IO_21,21,,cam0_vsync,apbio_36,apbio_14,fpgaio_14
jc[2],IO_22,22,,cam0_hsync,apbio_39,apbio_15,fpgaio_15
jc[3],IO_23,23,,i2cm0_scl,,apbio_16,fpgaio_16
jc[4],IO_24,24,,i2cm0_sda,,apbio_17,fpgaio_17
jc[7],IO_25,25,,cam0_clk,apbio_33,apbio_18,fpgaio_18
jc[8],IO_26,26,,apbio_32,qspim0_csn1,apbio_19,fpgaio_19
jc[9],IO_27,27,,apbio_48,qspim0_csn2,apbio_20,fpgaio_20
jc[10],IO_28,28,,apbio_49,qspim0_csn3,apbio_21,fpgaio_21
jd[1],IO_29,29,,cam0_data0,qspim1_csn0,apbio_22,fpgaio_22
jd[2],IO_30,30,,cam0_data1,qspim1_data0,apbio_23,fpgaio_23
jd[3],IO_31,31,,cam0_data2,qspim1_data1,apbio_24,fpgaio_24
jd[4],IO_32,32,,cam0_data3,qspim1_clk,apbio_25,fpgaio_25
jd[7],IO_33,33,,cam0_data4,qspim1_csn1,apbio_26,fpgaio_26
jd[8],IO_34,34,,cam0_data5,qspim1_csn2,apbio_27,fpgaio_27
jd[9],IO_35,35,,cam0_data6,qspim1_data2,apbio_28,fpgaio_28
jd[10],IO_36,36,,cam0_data7,qspim1_data3,apbio_29,fpgaio_29
jb[1],IO_37,37,,sdio0_data3,,apbio_30,fpgaio_30
jb[2],IO_38,38,,sdio0_cmd,,apbio_31,fpgaio_31
jb[3],IO_39,39,,sdio0_data0,,apbio_32,fpgaio_32
jb[4],IO_40,40,,sdio0_clk,,apbio_43,fpgaio_33
jb[7],IO_41,41,,sdio0_data1,,apbio_44,fpgaio_34
jb[8],IO_42,42,,sdio0_data2,,apbio_45,fpgaio_35
jb[9],IO_43,43,,apbio_50,apbio_0,apbio_46,fpgaio_36
jb[10],IO_44,44,stm,,,,
sw[1],IO_45,45,bootsel,,,,fpgaio_37
SYS_SCL,IO_46,46,,i2cm1_scl,,,fpgaio_38
SYS_SDA,IO_47,47,,i2cm1_sda,,,fpgaio_39
