Xilinx, IO,Index,sysio,pad_mux=0,pad_mux=1,pad_mux=2,pad_mux=3
UART_TXD_IN,IO_0,0,,uart0_rx,,gpio_0,fpgaio_0
UART_RXD_OUT,IO_1,1,,uart0_tx,,gpio_1,fpgaio_1
JA[1],IO_2,2,,0,1,gpio_2,fpgaio_2
JA[2],IO_3,3,,uart1_tx,uart1_rx,gpio_3,fpgaio_3
JA[3],IO_4,4,,uart1_rx,uart1_tx,gpio_4,fpgaio_4
JA[4],IO_5,5,,0,1,gpio_5,fpgaio_5
CLK100MHZ,IO_6,6,ref_clk,,,,
CPU_RESETN,IO_7,7,rstn,,,,
JB[10],IO_8,8,jtag_tck,,,,
JB[8],IO_9,9,jtag_tdi,,,,
JB[9],IO_10,10,jtag_tdo,,,,
JB[7],IO_11,11,jtag_tms,,,,
SW[0],IO_12,12,jtag_trst,,,,
JD[3],IO_13,13,,i2cm0_scl,1,0,gpio_0
JD[4],IO_14,14,,i2cm0_sda,1,0,gpio_1
SD_SCK,IO_15,15,bootsel,sdio0_clk,,,
SD_CMD,IO_16,16,,sdio0_cmd,,,
SD_DAT[0],IO_17,17,,sdio0_data0,,,
SD_DAT[1],IO_18,18,,sdio0_data1,,,
SD_DAT[2],IO_19,19,,sdio0_data2,,,
SD_DAT[3],IO_20,20,,sdio0_data3,,,
JC[1],IO_21,21,,qspim0_clk,i2cm0_scl,gpio_6,uart0_tx
JC[2],IO_22,22,,qspim0_data0,i2cm0_sda,gpio_7,uart0_rx
JC[3],IO_23,23,,qspim0_data1,i2cm1_scl,gpio_8,
JC[4],IO_24,24,,qspim0_data2,i2cm1_sda,gpio_9,
JC[7],IO_25,25,,qspim0_data3,,gpio_10,
JC[8],IO_26,26,,qspim0_csn0,,gpio_11,
JC[9],IO_27,27,,qspim0_csn1,,gpio_12,
JC[10],IO_28,28,,qspim0_csn2,,gpio_13,
SW[1],IO_29,29,,qspim0_csn3,,gpio_14,
VGA_VS,IO_30,30,,cam0_vsync,,gpio_15,
VGA_HS,IO_31,31,,cam0_hsync,,gpio_16,
VGA_R[0],IO_32,32,,cam0_data0,,gpio_17,
VGA_R[1],IO_33,33,,cam0_data1,,gpio_18,
VGA_R[2],IO_34,34,,cam0_data2,,gpio_19,
VGA_R[3],IO_35,35,,cam0_data3,,gpio_20,
VGA_G[0],IO_36,36,,cam0_data4,,gpio_21,
VGA_G[1],IO_37,37,,cam0_data5,,gpio_22,
VGA_G[2],IO_38,38,,cam0_data6,,gpio_23,
VGA_G[3],IO_39,39,,cam0_data7,,gpio_24,
VGA_B[0],IO_40,40,,cam0_clk,,gpio_25,
LED[0],IO_41,41,,1,gpio_0,gpio_26,0
LED[1],IO_42,42,,1,gpio_1,gpio_27,0
LED[2],IO_43,43,,1,gpio_2,gpio_28,0
LED[3],IO_44,44,,0,gpio_3,gpio_29,0
LED[5],IO_45,45,,1,gpio_5,gpio_30,0
TMP_SCL,IO_46,46,,i2cm1_scl,gpio_5,gpio_31,0
TMP_SDA,IO_47,47,,i2cm1_sda,gpio_6,1,0
