Title,UDMA_QSPI,,,,,
,Memory address: UDMA_CH_ADDR_QSPI(`UDMA_CH_ADDR_QSPI),,,,,
,,,,,,
,The actions of the QSPI controller are controlled using a sequence of commands that are present in the transmit buffer.,,,,,
,"Therefore, to use theQSPI controller the software must assemble the appropriate sequence of commands in a buffer, and use the UDMA to send the buffer to the QSPI contoller.",,,,,
,"And because the UDMA handles data buffers and interrupts, it is important to understand how to operate the UDMA controller.",,,,,
,,,,,,
Code,Command,Field,MSB,LSB,Description,
0x0,SPI_CMD_CFG,,,,Sets the configuration for the SPI Master IP,
,,CLKDIV,7,0,Sets the clock divider value,
,,CPHA,8,8,Sets the clock phase:,
,,,,,0x0:,
,,,,,0x1:,
,,CPOL,9,9,Sets the clock polarity:,
,,,,,0x0:,
,,,,,0x1:,
,,SPI_CMD,31,28,Command to execute (0x0),
0x1,SPI_CMD_SOT,,,,Sets the Chip Select (CS),
,,CS,1,0,Sets the Chip Select (CS):,
,,,,,0x0: select csn0,
,,,,,0x1: select csn1,
,,,,,0x2: select csn2,
,,,,,0x3: select csn3,
,,SPI_CMD,31,28,Command to execute (0x1),
0x2,SPI_CMD_SEND_CMD,,,,Transmits up to 16bits of data sent in the command,
,,DATA_VALUE,15,0,Sets the command to send.,
,,,,,MSB must always be at bit 15,
,,,,, if cmd size is less than 16,
,,DATA_SIZE,19,16,"N-1,  where N is the size in bits of the command",
,,,,,to send,
,,LSB,26,26,Sends the data starting from LSB,
,,QPI,27,27,Sends the command using QuadSPI,
,,SPI_CMD,31,28,Command to execute (0x2),
0x4,SPI_CMD_DUMMY,,,,Receives a number of dummy bits,
,,,,,which are not sent to the RX interface,
,,DUMMY_CYCLE,21,16,Number of dummy cycles to perform,
,,SPI_CMD,31,28,Command to execute (0x4),
0x5,SPI_CMD_WAIT,,,,Waits for an external event to move to the next ,
,,,,,instruction,
,,EVENT_ID_CYCLE_COUNT,6,0,External event id or Number of wait cycles,
,,WAIT_TYPE,9,8,Type of wait:,
,,,,,0x0: wait for and soc event selected by EVENT_ID,
,,,,,0x1: wait CYCLE_COUNT cycles,
,,,,,0x2: rfu,
,,,,,0x3: rfu,
,,SPI_CMD,31,28,Command to execute (0x5),
,,,,,,
0x6,SPI_CMD_TX_DATA,,,,Sends data (max 256Kbits),
